title;description;url;image;complete
Web Forum (Django);A website built using Django, html, css, javascript and python. Write messages, login using authentication services and sign up.;https://github.com/joolienhoolien/Web-Forum;forum_photo.jpg;True
HTTP Server (Python);Custom HTTP Server with GET and POST using vanilla python;https://github.com/joolienhoolien/HTTP_Server;http_server_img.png;True
Portfolio Website;A website built entirely in Python to showcase coding projects and apps.;https://github.com/joolienhoolien/Portfolio_2025;2.png;True
PDF Templates;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://github.com/joolienhoolien/PDF_Notes_Template;3.png;True
PDF Invoices;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://github.com/joolienhoolien/PDF_Invoices;4.png;True
Positive News Site;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png;False
Weather API;A REST API built with Python and Flask to serve historical weather data for various cities.;https://github.com/joolienhoolien/Weather_API;6.png;False
Download Cleaner;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png;False
Tour Scraper;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png;False
Helper Chatbot;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png;False
Open Domain Chatbot;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png;False
Webcam Motion Detector;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png;False
Typing Analyzer;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png;False
Internet Speed Analysis;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png;False
Monitoring Data;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png;False
Visualizing Data;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png;False
Visualizing Weather Forecast;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png;False
Student Management System;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png;False
School Management System;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png;False
Restaurant Menu Web App;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png;False
Online Store;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png;False
